Australian Bureau of Statistics

"2016 Census - Counting Dwellings, Place of Enumeration (MB)"
"SA2 by NPRD Number of Persons Usually Resident in Dwelling"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"Counting","SA2","NPRD Number of Persons Usually Resident in Dwelling","Count",
"Dwellings Location on Census Night","118011339","One person",1911
"Dwellings Location on Census Night","118011339","Two persons",2616
"Dwellings Location on Census Night","118011339","Three persons",1144
"Dwellings Location on Census Night","118011339","Four persons",922
"Dwellings Location on Census Night","118011339","Five persons",318
"Dwellings Location on Census Night","118011339","Six persons",79
"Dwellings Location on Census Night","118011339","Not applicable",1720
"Dwellings Location on Census Night","118011339","Total",8709
"Dwellings Location on Census Night","118011340","One person",2284
"Dwellings Location on Census Night","118011340","Two persons",3007
"Dwellings Location on Census Night","118011340","Three persons",1264
"Dwellings Location on Census Night","118011340","Four persons",1005
"Dwellings Location on Census Night","118011340","Five persons",313
"Dwellings Location on Census Night","118011340","Six persons",78
"Dwellings Location on Census Night","118011340","Not applicable",2505
"Dwellings Location on Census Night","118011340","Total",10455
"Dwellings Location on Census Night","118011341","One person",1848
"Dwellings Location on Census Night","118011341","Two persons",2146
"Dwellings Location on Census Night","118011341","Three persons",1024
"Dwellings Location on Census Night","118011341","Four persons",834
"Dwellings Location on Census Night","118011341","Five persons",261
"Dwellings Location on Census Night","118011341","Six persons",61
"Dwellings Location on Census Night","118011341","Not applicable",1541
"Dwellings Location on Census Night","118011341","Total",7709
"Dwellings Location on Census Night","118011342","One person",0
"Dwellings Location on Census Night","118011342","Two persons",0
"Dwellings Location on Census Night","118011342","Three persons",0
"Dwellings Location on Census Night","118011342","Four persons",0
"Dwellings Location on Census Night","118011342","Five persons",0
"Dwellings Location on Census Night","118011342","Six persons",0
"Dwellings Location on Census Night","118011342","Not applicable",0
"Dwellings Location on Census Night","118011342","Total",0
"Dwellings Location on Census Night","118011343","One person",3045
"Dwellings Location on Census Night","118011343","Two persons",3802
"Dwellings Location on Census Night","118011343","Three persons",1384
"Dwellings Location on Census Night","118011343","Four persons",1064
"Dwellings Location on Census Night","118011343","Five persons",463
"Dwellings Location on Census Night","118011343","Six persons",103
"Dwellings Location on Census Night","118011343","Not applicable",2586
"Dwellings Location on Census Night","118011343","Total",12447
"Dwellings Location on Census Night","118011344","One person",942
"Dwellings Location on Census Night","118011344","Two persons",1284
"Dwellings Location on Census Night","118011344","Three persons",669
"Dwellings Location on Census Night","118011344","Four persons",673
"Dwellings Location on Census Night","118011344","Five persons",318
"Dwellings Location on Census Night","118011344","Six persons",71
"Dwellings Location on Census Night","118011344","Not applicable",629
"Dwellings Location on Census Night","118011344","Total",4579
"Dwellings Location on Census Night","118011345","One person",2229
"Dwellings Location on Census Night","118011345","Two persons",2280
"Dwellings Location on Census Night","118011345","Three persons",911
"Dwellings Location on Census Night","118011345","Four persons",684
"Dwellings Location on Census Night","118011345","Five persons",185
"Dwellings Location on Census Night","118011345","Six persons",37
"Dwellings Location on Census Night","118011345","Not applicable",1507
"Dwellings Location on Census Night","118011345","Total",7832
"Dwellings Location on Census Night","118011346","One person",874
"Dwellings Location on Census Night","118011346","Two persons",1286
"Dwellings Location on Census Night","118011346","Three persons",649
"Dwellings Location on Census Night","118011346","Four persons",741
"Dwellings Location on Census Night","118011346","Five persons",367
"Dwellings Location on Census Night","118011346","Six persons",91
"Dwellings Location on Census Night","118011346","Not applicable",860
"Dwellings Location on Census Night","118011346","Total",4870
"Dwellings Location on Census Night","118011347","One person",949
"Dwellings Location on Census Night","118011347","Two persons",1117
"Dwellings Location on Census Night","118011347","Three persons",462
"Dwellings Location on Census Night","118011347","Four persons",368
"Dwellings Location on Census Night","118011347","Five persons",109
"Dwellings Location on Census Night","118011347","Six persons",18
"Dwellings Location on Census Night","118011347","Not applicable",762
"Dwellings Location on Census Night","118011347","Total",3784
"Dwellings Location on Census Night","118021348","One person",2719
"Dwellings Location on Census Night","118021348","Two persons",3502
"Dwellings Location on Census Night","118021348","Three persons",1675
