Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by SEXP Sex by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","SA1 (UR)","SEXP Sex","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","1133901","Male","Never married",99
"Persons Place of Usual Residence","1133901","Male","Widowed",4
"Persons Place of Usual Residence","1133901","Male","Divorced",6
"Persons Place of Usual Residence","1133901","Male","Separated",5
"Persons Place of Usual Residence","1133901","Male","Married",97
"Persons Place of Usual Residence","1133901","Male","Not applicable",51
"Persons Place of Usual Residence","1133901","Male","Total",253
"Persons Place of Usual Residence","1133901","Female","Never married",89
"Persons Place of Usual Residence","1133901","Female","Widowed",6
"Persons Place of Usual Residence","1133901","Female","Divorced",25
"Persons Place of Usual Residence","1133901","Female","Separated",3
"Persons Place of Usual Residence","1133901","Female","Married",92
"Persons Place of Usual Residence","1133901","Female","Not applicable",46
"Persons Place of Usual Residence","1133901","Female","Total",266
"Persons Place of Usual Residence","1133901","Total","Never married",189
"Persons Place of Usual Residence","1133901","Total","Widowed",5
"Persons Place of Usual Residence","1133901","Total","Divorced",36
"Persons Place of Usual Residence","1133901","Total","Separated",10
"Persons Place of Usual Residence","1133901","Total","Married",187
"Persons Place of Usual Residence","1133901","Total","Not applicable",94
"Persons Place of Usual Residence","1133901","Total","Total",527
"Persons Place of Usual Residence","1133902","Male","Never married",41
"Persons Place of Usual Residence","1133902","Male","Widowed",0
"Persons Place of Usual Residence","1133902","Male","Divorced",11
"Persons Place of Usual Residence","1133902","Male","Separated",0
"Persons Place of Usual Residence","1133902","Male","Married",73
"Persons Place of Usual Residence","1133902","Male","Not applicable",44
"Persons Place of Usual Residence","1133902","Male","Total",175
"Persons Place of Usual Residence","1133902","Female","Never married",54
"Persons Place of Usual Residence","1133902","Female","Widowed",4
"Persons Place of Usual Residence","1133902","Female","Divorced",4
"Persons Place of Usual Residence","1133902","Female","Separated",5
"Persons Place of Usual Residence","1133902","Female","Married",82
"Persons Place of Usual Residence","1133902","Female","Not applicable",39
"Persons Place of Usual Residence","1133902","Female","Total",194
"Persons Place of Usual Residence","1133902","Total","Never married",96
"Persons Place of Usual Residence","1133902","Total","Widowed",8
"Persons Place of Usual Residence","1133902","Total","Divorced",12
"Persons Place of Usual Residence","1133902","Total","Separated",5
"Persons Place of Usual Residence","1133902","Total","Married",153
"Persons Place of Usual Residence","1133902","Total","Not applicable",82
"Persons Place of Usual Residence","1133902","Total","Total",365
"Persons Place of Usual Residence","1133903","Male","Never married",46
"Persons Place of Usual Residence","1133903","Male","Widowed",0
"Persons Place of Usual Residence","1133903","Male","Divorced",11
"Persons Place of Usual Residence","1133903","Male","Separated",0
"Persons Place of Usual Residence","1133903","Male","Married",67
"Persons Place of Usual Residence","1133903","Male","Not applicable",33
"Persons Place of Usual Residence","1133903","Male","Total",155
"Persons Place of Usual Residence","1133903","Female","Never married",36
"Persons Place of Usual Residence","1133903","Female","Widowed",6
"Persons Place of Usual Residence","1133903","Female","Divorced",0
"Persons Place of Usual Residence","1133903","Female","Separated",0
"Persons Place of Usual Residence","1133903","Female","Married",71
"Persons Place of Usual Residence","1133903","Female","Not applicable",29
"Persons Place of Usual Residence","1133903","Female","Total",145
"Persons Place of Usual Residence","1133903","Total","Never married",85
"Persons Place of Usual Residence","1133903","Total","Widowed",5
"Persons Place of Usual Residence","1133903","Total","Divorced",14
"Persons Place of Usual Residence","1133903","Total","Separated",0
"Persons Place of Usual Residence","1133903","Total","Married",137
"Persons Place of Usual Residence","1133903","Total","Not applicable",59
"Persons Place of Usual Residence","1133903","Total","Total",303
"Persons Place of Usual Residence","1133904","Male","Never married",145
"Persons Place of Usual Residence","1133904","Male","Widowed",5
"Persons Place of Usual Residence","1133904","Male","Divorced",16
"Persons Place of Usual Residence","1133904","Male","Separated",5
"Persons Place of Usual Residence","1133904","Male","Married",89
"Persons Place of Usual Residence","1133904","Male","Not applicable",63
"Persons Place of Usual Residence","1133904","Male","Total",319
"Persons Place of Usual Residence","1133904","Female","Never married",111
"Persons Place of Usual Residence","1133904","Female","Widowed",14
"Persons Place of Usual Residence","1133904","Female","Divorced",20
"Persons Place of Usual Residence","1133904","Female","Separated",4
"Persons Place of Usual Residence","1133904","Female","Married",87
"Persons Place of Usual Residence","1133904","Female","Not applicable",40
