Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA3 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","SA3 (UR)","OCCP - 1 Digit Level","Count",
"Persons Place of Usual Residence","11801","Managers",14196
"Persons Place of Usual Residence","11801","Professionals",27406
"Persons Place of Usual Residence","11801","Technicians and Trades Workers",4015
"Persons Place of Usual Residence","11801","Community and Personal Service Workers",5269
"Persons Place of Usual Residence","11801","Clerical and Administrative Workers",7354
"Persons Place of Usual Residence","11801","Sales Workers",5332
"Persons Place of Usual Residence","11801","Machinery Operators and Drivers",795
"Persons Place of Usual Residence","11801","Labourers",1986
"Persons Place of Usual Residence","11801","Inadequately described",862
"Persons Place of Usual Residence","11801","Not stated",391
"Persons Place of Usual Residence","11801","Not applicable",58775
"Persons Place of Usual Residence","11801","Total",126382
"Persons Place of Usual Residence","11802","Managers",10583
"Persons Place of Usual Residence","11802","Professionals",23755
"Persons Place of Usual Residence","11802","Technicians and Trades Workers",6224
"Persons Place of Usual Residence","11802","Community and Personal Service Workers",6665
"Persons Place of Usual Residence","11802","Clerical and Administrative Workers",9258
"Persons Place of Usual Residence","11802","Sales Workers",5569
"Persons Place of Usual Residence","11802","Machinery Operators and Drivers",1890
"Persons Place of Usual Residence","11802","Labourers",3225
"Persons Place of Usual Residence","11802","Inadequately described",663
"Persons Place of Usual Residence","11802","Not stated",446
"Persons Place of Usual Residence","11802","Not applicable",72379
"Persons Place of Usual Residence","11802","Total",140651
"Persons Place of Usual Residence","Total","Managers",24778
"Persons Place of Usual Residence","Total","Professionals",51162
"Persons Place of Usual Residence","Total","Technicians and Trades Workers",10238
"Persons Place of Usual Residence","Total","Community and Personal Service Workers",11935
"Persons Place of Usual Residence","Total","Clerical and Administrative Workers",16609
"Persons Place of Usual Residence","Total","Sales Workers",10900
"Persons Place of Usual Residence","Total","Machinery Operators and Drivers",2682
"Persons Place of Usual Residence","Total","Labourers",5213
"Persons Place of Usual Residence","Total","Inadequately described",1522
"Persons Place of Usual Residence","Total","Not stated",837
"Persons Place of Usual Residence","Total","Not applicable",131150
"Persons Place of Usual Residence","Total","Total",267031

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
