Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","SA2 (UR)","OCCP - 1 Digit Level","Count",
"Persons Place of Usual Residence","118011346","Not applicable",6456
"Persons Place of Usual Residence","118011346","Total",11844
"Persons Place of Usual Residence","118011347","Managers",847
"Persons Place of Usual Residence","118011347","Professionals",1832
"Persons Place of Usual Residence","118011347","Technicians and Trades Workers",152
"Persons Place of Usual Residence","118011347","Community and Personal Service Workers",236
"Persons Place of Usual Residence","118011347","Clerical and Administrative Workers",414
"Persons Place of Usual Residence","118011347","Sales Workers",302
"Persons Place of Usual Residence","118011347","Machinery Operators and Drivers",42
"Persons Place of Usual Residence","118011347","Labourers",64
"Persons Place of Usual Residence","118011347","Inadequately described",44
"Persons Place of Usual Residence","118011347","Not stated",17
"Persons Place of Usual Residence","118011347","Not applicable",3723
"Persons Place of Usual Residence","118011347","Total",7686
"Persons Place of Usual Residence","118021348","Managers",2639
"Persons Place of Usual Residence","118021348","Professionals",5616
"Persons Place of Usual Residence","118021348","Technicians and Trades Workers",1091
"Persons Place of Usual Residence","118021348","Community and Personal Service Workers",1250
"Persons Place of Usual Residence","118021348","Clerical and Administrative Workers",1691
"Persons Place of Usual Residence","118021348","Sales Workers",1005
"Persons Place of Usual Residence","118021348","Machinery Operators and Drivers",206
"Persons Place of Usual Residence","118021348","Labourers",399
"Persons Place of Usual Residence","118021348","Inadequately described",168
"Persons Place of Usual Residence","118021348","Not stated",68
"Persons Place of Usual Residence","118021348","Not applicable",11310
"Persons Place of Usual Residence","118021348","Total",25455
"Persons Place of Usual Residence","118021350","Managers",1539
"Persons Place of Usual Residence","118021350","Professionals",2470
"Persons Place of Usual Residence","118021350","Technicians and Trades Workers",1179
"Persons Place of Usual Residence","118021350","Community and Personal Service Workers",1052
"Persons Place of Usual Residence","118021350","Clerical and Administrative Workers",1737
"Persons Place of Usual Residence","118021350","Sales Workers",937
"Persons Place of Usual Residence","118021350","Machinery Operators and Drivers",528
"Persons Place of Usual Residence","118021350","Labourers",604
"Persons Place of Usual Residence","118021350","Inadequately described",105
"Persons Place of Usual Residence","118021350","Not stated",80
"Persons Place of Usual Residence","118021350","Not applicable",13806
"Persons Place of Usual Residence","118021350","Total",24036
"Persons Place of Usual Residence","118021564","Managers",812
"Persons Place of Usual Residence","118021564","Professionals",2297
"Persons Place of Usual Residence","118021564","Technicians and Trades Workers",516
"Persons Place of Usual Residence","118021564","Community and Personal Service Workers",813
"Persons Place of Usual Residence","118021564","Clerical and Administrative Workers",851
"Persons Place of Usual Residence","118021564","Sales Workers",640
"Persons Place of Usual Residence","118021564","Machinery Operators and Drivers",164
"Persons Place of Usual Residence","118021564","Labourers",330
"Persons Place of Usual Residence","118021564","Inadequately described",44
"Persons Place of Usual Residence","118021564","Not stated",51
"Persons Place of Usual Residence","118021564","Not applicable",8356
"Persons Place of Usual Residence","118021564","Total",14887
"Persons Place of Usual Residence","118021565","Managers",725
"Persons Place of Usual Residence","118021565","Professionals",2148
"Persons Place of Usual Residence","118021565","Technicians and Trades Workers",558
"Persons Place of Usual Residence","118021565","Community and Personal Service Workers",664
"Persons Place of Usual Residence","118021565","Clerical and Administrative Workers",868
"Persons Place of Usual Residence","118021565","Sales Workers",616
"Persons Place of Usual Residence","118021565","Machinery Operators and Drivers",212
"Persons Place of Usual Residence","118021565","Labourers",463
"Persons Place of Usual Residence","118021565","Inadequately described",73
"Persons Place of Usual Residence","118021565","Not stated",50
"Persons Place of Usual Residence","118021565","Not applicable",9235
"Persons Place of Usual Residence","118021565","Total",15602
"Persons Place of Usual Residence","118021566","Managers",761
"Persons Place of Usual Residence","118021566","Professionals",1701
"Persons Place of Usual Residence","118021566","Technicians and Trades Workers",422
"Persons Place of Usual Residence","118021566","Community and Personal Service Workers",417
"Persons Place of Usual Residence","118021566","Clerical and Administrative Workers",701
"Persons Place of Usual Residence","118021566","Sales Workers",383
"Persons Place of Usual Residence","118021566","Machinery Operators and Drivers",121
"Persons Place of Usual Residence","118021566","Labourers",186
"Persons Place of Usual Residence","118021566","Inadequately described",56
"Persons Place of Usual Residence","118021566","Not stated",40
"Persons Place of Usual Residence","118021566","Not applicable",5016
"Persons Place of Usual Residence","118021566","Total",9812
"Persons Place of Usual Residence","118021567","Managers",748
"Persons Place of Usual Residence","118021567","Professionals",1557
"Persons Place of Usual Residence","118021567","Technicians and Trades Workers",545
